Date,Open,High,Low,Close,Adj Close,Volume
2017-10-31,309.160004,309.829987,308.140015,308.160004,271.844910,693900
2017-11-01,309.049988,309.660004,306.230011,306.600006,270.468811,1016100
2017-11-02,306.109985,310.859985,306.109985,310.859985,274.226746,868900
2017-11-03,310.920013,311.850006,309.040009,309.989990,273.459290,652200
2017-11-06,309.720001,311.929993,308.679993,310.079987,273.538605,717300
2017-11-07,310.079987,313.369995,310.079987,313.290009,276.370422,874200
2017-11-08,313.440002,315.700012,313.299988,315.640015,278.443451,729600
2017-11-09,314.850006,315.059998,310.279999,311.079987,274.420898,890600
2017-11-10,310.299988,311.679993,309.760010,311.170013,274.500275,630800
2017-11-13,311.000000,313.279999,310.309998,312.950012,276.070557,702800
2017-11-14,312.000000,314.000000,310.700012,313.739990,276.767395,605700
2017-11-15,313.100006,313.779999,310.540009,310.640015,274.032654,754900
2017-11-16,311.089996,312.799988,311.000000,312.649994,275.805786,635500
2017-11-17,311.589996,312.429993,309.500000,309.700012,273.203461,692300
2017-11-20,310.200012,315.570007,310.010010,314.649994,277.570129,901800
2017-11-21,315.239990,317.619995,314.609985,316.940002,279.590240,858000
2017-11-22,316.309998,316.859985,314.350006,314.869995,277.764160,685700
2017-11-24,315.089996,316.230011,315.019989,315.820007,278.602295,320900
2017-11-27,316.000000,316.890015,315.049988,316.700012,279.378571,657800
2017-11-28,316.779999,319.429993,316.170013,319.010010,281.416290,967200
2017-11-29,319.500000,321.209991,318.329987,320.760010,282.960022,1190500
2017-11-30,319.619995,320.940002,318.480011,319.119995,283.279633,2626200
2017-12-01,319.059998,319.630005,311.130005,313.570007,278.352905,1707400
2017-12-04,315.940002,316.519989,311.609985,311.779999,276.764008,1365900
2017-12-05,314.500000,314.500000,310.070007,310.140015,275.308228,1171000
2017-12-06,311.980011,313.070007,310.250000,311.970001,276.932648,824800
2017-12-07,311.829987,315.359985,311.809998,314.420013,279.107513,972300
2017-12-08,316.559998,316.559998,313.450012,315.850006,280.376953,853900
2017-12-11,315.450012,317.239990,315.149994,316.170013,280.660980,765800
2017-12-12,316.380005,316.899994,314.910004,315.890015,280.412415,1082200
2017-12-13,316.660004,319.829987,316.299988,317.790009,282.099030,862400
2017-12-14,318.209991,319.029999,316.420013,317.010010,281.406708,867600
2017-12-15,318.690002,323.380005,318.429993,322.820007,286.564117,1929400
2017-12-18,323.589996,323.940002,319.000000,322.760010,286.510864,1254400
2017-12-19,322.760010,323.130005,319.779999,319.970001,284.034180,931000
2017-12-20,319.839996,321.260010,317.649994,317.720001,282.036865,932400
2017-12-21,319.000000,319.200012,317.010010,317.190002,281.566406,868700
2017-12-22,318.299988,319.239990,317.600006,318.029999,282.312073,542100
2017-12-26,318.359985,319.769989,317.970001,318.510010,282.738220,516900
2017-12-27,319.670013,319.670013,318.070007,319.440002,283.563721,574700
2017-12-28,319.829987,322.299988,319.709991,322.100006,285.924957,721700
2017-12-29,322.220001,323.149994,321.019989,321.049988,284.992920,731200
2018-01-02,322.000000,322.619995,317.500000,318.540009,282.764832,1189600
2018-01-03,318.980011,321.519989,318.630005,321.209991,285.134918,893400
2018-01-04,321.190002,326.899994,320.989990,326.720001,290.026123,1443000
2018-01-05,325.989990,330.179993,325.980011,329.679993,292.653687,1241100
2018-01-08,328.959991,330.410004,327.809998,328.160004,291.304291,1084500
2018-01-09,329.000000,331.829987,328.420013,330.510010,293.390472,865400
2018-01-10,331.070007,333.739990,330.010010,331.049988,293.869812,1504600
2018-01-11,331.850006,332.079987,330.160004,331.130005,293.940826,1152000
2018-01-12,331.350006,336.350006,331.029999,336.250000,298.485748,1428100
2018-01-16,336.350006,336.670013,330.000000,330.109985,293.035309,1374900
2018-01-17,331.459991,335.739990,330.320007,334.859985,297.251892,1009600
2018-01-18,334.109985,335.920013,332.989990,333.000000,295.600861,973200
2018-01-19,334.239990,334.890015,331.779999,332.000000,294.713043,1511800
2018-01-22,331.769989,332.700012,328.970001,329.000000,292.050018,1463000
2018-01-23,329.989990,331.149994,328.510010,328.700012,291.783722,1066200
2018-01-24,328.869995,332.480011,327.420013,330.489990,293.372681,1360200
2018-01-25,331.040009,335.190002,330.209991,334.720001,297.127594,1782900
2018-01-26,336.869995,345.109985,334.739990,344.899994,306.164276,2057300
2018-01-29,350.000000,354.320007,342.149994,351.420013,311.952087,2881100
2018-01-30,346.519989,352.720001,345.049988,350.390015,311.037689,2032900
2018-01-31,353.279999,358.519989,352.450012,354.850006,314.996887,1887200
2018-02-01,354.260010,361.790009,354.010010,357.380005,317.242676,1579700
2018-02-02,355.000000,358.000000,351.519989,352.660004,313.052795,1958600
2018-02-05,348.630005,353.989990,326.109985,336.459991,298.672150,2947100
2018-02-06,328.709991,340.010010,327.230011,337.589996,299.675262,2603000
2018-02-07,338.290009,350.339996,337.820007,345.429993,306.634735,2052900
2018-02-08,350.209991,350.989990,334.010010,334.299988,296.754730,2627600
2018-02-09,338.100006,344.880005,332.250000,341.420013,303.075165,2366600
2018-02-12,344.540009,348.470001,340.100006,345.809998,306.972076,1829200
2018-02-13,345.200012,351.059998,344.510010,350.230011,310.895721,1279300
2018-02-14,348.809998,355.390015,348.200012,354.660004,314.828186,1652100
2018-02-15,357.399994,361.019989,354.739990,361.000000,320.456116,1167600
2018-02-16,361.000000,363.000000,357.839996,360.529999,320.038879,1084800
2018-02-20,359.149994,362.670013,357.230011,358.690002,318.405548,1102600
2018-02-21,359.000000,362.980011,357.000000,357.059998,316.958588,1391000
2018-02-22,358.440002,358.970001,354.510010,355.410004,315.493958,1432700
2018-02-23,356.250000,358.690002,353.839996,358.690002,318.405548,902500
2018-02-26,360.000000,361.320007,357.079987,358.700012,318.414368,1156300
2018-02-27,359.350006,362.320007,358.089996,358.170013,317.943970,1379700
2018-02-28,357.359985,359.200012,352.420013,352.440002,314.614288,988400
2018-03-01,352.459991,353.579987,337.579987,339.690002,303.232727,2307100
2018-03-02,337.500000,342.850006,335.049988,341.720001,305.044769,1684100
2018-03-05,339.829987,342.779999,337.619995,342.359985,305.616119,1812400
2018-03-06,342.899994,343.989990,337.950012,339.500000,303.063049,1307800
2018-03-07,336.230011,343.190002,334.100006,342.200012,305.473267,1351000
2018-03-08,343.119995,343.700012,339.339996,341.779999,305.098328,1056400
2018-03-09,341.779999,342.559998,338.079987,340.489990,303.946838,1568600
2018-03-12,341.000000,341.350006,333.040009,333.100006,297.349976,2283200
2018-03-13,334.779999,335.910004,332.079987,333.459991,297.671295,1622100
2018-03-14,335.709991,336.380005,327.579987,331.679993,296.082367,1712400
2018-03-15,331.940002,334.429993,328.779999,333.230011,297.466003,1877200
2018-03-16,333.380005,334.350006,329.230011,331.399994,295.832367,4718100
2018-03-19,330.299988,336.230011,330.250000,335.250000,299.269226,1502900
2018-03-20,335.730011,339.500000,335.220001,335.600006,299.581665,1153900
2018-03-21,336.260010,338.730011,332.489990,335.470001,299.465668,1270500
2018-03-22,333.179993,335.470001,325.790009,327.149994,292.038574,1536300
2018-03-23,327.000000,344.140015,326.769989,336.309998,300.215485,2898600
2018-03-26,342.399994,344.600006,339.269989,343.929993,307.017670,1611100
2018-03-27,345.299988,345.940002,336.600006,338.850006,302.482849,1295100
2018-03-28,340.000000,340.660004,333.220001,335.329987,299.340576,1422000
2018-03-29,336.040009,341.000000,335.390015,337.929993,301.661560,1039300
2018-04-02,337.059998,337.899994,328.750000,333.000000,297.260742,1298600
2018-04-03,334.970001,337.029999,330.679993,334.709991,298.787140,1296500
2018-04-04,328.880005,341.970001,327.500000,341.790009,305.107269,1449400
2018-04-05,344.230011,346.929993,340.010010,346.649994,309.445740,1589400
2018-04-06,343.589996,344.679993,332.839996,334.660004,298.742493,1417900
2018-04-09,337.480011,340.839996,335.459991,335.910004,299.858368,981200
2018-04-10,340.630005,341.049988,337.100006,339.359985,302.938110,996300
2018-04-11,338.510010,346.250000,337.980011,339.440002,303.009521,1481100
2018-04-12,340.619995,344.500000,340.519989,342.880005,306.080322,1091600
2018-04-13,344.079987,345.059998,340.690002,342.600006,305.830353,763100
2018-04-16,344.869995,347.739990,344.549988,345.700012,308.597687,1141300
2018-04-17,347.790009,350.119995,346.130005,349.140015,311.668457,1061800
2018-04-18,351.299988,352.250000,349.339996,351.149994,313.462708,843600
